id,question,answer,topic
1,What is the main objective of the proposed research?,The research aims to analyze and detect mental health disorders from social media data using a deep-learning-based framework so that possible mental health problems can be identified at an early stage.,Research Objective
2,What are the three main stages of the proposed EC+SASSOA framework?,"The three main stages are preprocessing, feature extraction, and classification.",Methodology
3,Which preprocessing techniques are applied to the social media text?,The input text is preprocessed using stemming and stop-word removal.,Preprocessing
4,Which features are extracted from the preprocessed social media data?,"The framework extracts n-grams, content features, Bag of Visual Words (BoVW), Linguistic Inquiry and Word Count (LIWC) features, and Improved Semantic Similarity features.",Feature Extraction
5,Which classifiers are combined in the ensemble classification model?,"The ensemble combines Bidirectional Gated Recurrent Unit (Bi-GRU), Deep Maxout, and Improved Convolutional Neural Network (ICNN) classifiers.",Ensemble Classification
6,What is the role of SASSOA in the proposed model?,The Self-Adaptive Shuffled Shepherd Optimization Algorithm (SASSOA) is used to optimally tune the weights of the ICNN in order to improve classification performance.,Optimization
7,What datasets were used to evaluate the proposed model?,"The study used a Twitter sentiment depression dataset and a depression-detection Twitter-post dataset. One dataset was created using TWINT to collect tweets containing the word depression, followed by manual filtering of irrelevant tweets.",Dataset
8,What accuracy did the EC+SASSOA model achieve compared with the previous classifiers?,"In the classifier comparison, EC+SASSOA achieved an accuracy of about 0.94, outperforming models such as LSTM, SVM, Bi-GRU, RNN, CNN, Deep Maxout, Recurrent Bi-LSTM+CNN, and XGBoost+CNN.",Results
9,"What precision, sensitivity, and F-measure were reported for the EC+SASSOA model?","The classifier comparison reported approximately 0.96 precision, 0.96 sensitivity, and 0.96 F-measure for EC+SASSOA.",Evaluation Metrics
10,Why is a low false negative rate important in mental health disorder detection?,"A low false negative rate is important because it reduces the number of actual mental health cases that the system incorrectly classifies as non-cases, which is especially important for early identification and intervention.",Clinical Significance
